Cell Type	TF/DNase/HistoneMark	Treatment	DeepSEA ROC AUC	DanQ ROC AUC	DanQ-JASPAR ROC AUC	DeepSEA PR AUC	DanQ PR AUC	DanQ-JASPAR PR AUC
RWPE1	DNase	None	0.927696294	0.9366268878	0.9381576103	0.4744217367	0.5071240841	0.5153730228
Stellate	DNase	None	0.925775814	0.9311993312	0.9347415486	0.4495610606	0.4722418729	0.4797688522
T-47D	DNase	None	0.88951898	0.8981698685	0.8994533016	0.3706824833	0.3960861184	0.3984722394
Adult_CD4_Th0	DNase	None	0.884814335	0.8886718065	0.8898270926	0.3711642078	0.3824629918	0.3874213075
Urothelia	DNase	None	0.921872672	0.9283363179	0.9301246297	0.4499384108	0.4732297245	0.4825141958
Urothelia	DNase	UT189	0.905203186	0.9109602229	0.9120269184	0.421861015	0.4431106386	0.4505962781
AG04449	DNase	None	0.930299369	0.9350575847	0.9393851624	0.4583251466	0.4756664838	0.492027007
AG04450	DNase	None	0.930558584	0.9343978016	0.9389876455	0.4540676292	0.4672055145	0.4854169388
AG09309	DNase	None	0.929469519	0.9339830894	0.9387336198	0.4960453125	0.5116177462	0.5265479393
AG09319	DNase	None	0.927775855	0.9315941594	0.9370959924	0.4356784676	0.4507821181	0.4680074365
AG10803	DNase	None	0.935139243	0.938648384	0.9428115943	0.4907650482	0.5054729082	0.5216078913
AoAF	DNase	None	0.928060187	0.9314802829	0.9361771632	0.4824022784	0.4956891792	0.5112193412
BE2_C	DNase	None	0.913226233	0.9233588542	0.9291232266	0.455811947	0.4876840595	0.5033008295
BJ	DNase	None	0.926037247	0.929964594	0.9359857811	0.439970125	0.458422685	0.4769759602
Caco-2	DNase	None	0.955102255	0.9602247859	0.9614734632	0.4413681283	0.4660432973	0.4649057247
CD20+	DNase	None	0.91735557	0.9212656413	0.925173799	0.393695248	0.4086928574	0.4128750032
CD34+_Mobilized	DNase	None	0.925500268	0.9316137548	0.9342954137	0.4920058292	0.5126274191	0.5220194418
CMK	DNase	None	0.92867733	0.9327263993	0.9340527474	0.4316323641	0.4519660267	0.4562120553
A549	DNase	None	0.889120095	0.8961514737	0.899674066	0.4454897334	0.4648586052	0.4722856292
GM12878	DNase	None	0.895268982	0.9000923412	0.9039893704	0.4033559786	0.4227049343	0.4286787119
H1-hESC	DNase	None	0.922875567	0.9281680371	0.9320845004	0.49779014	0.522322672	0.5337150402
HeLa-S3	DNase	None	0.881399822	0.8896062784	0.8926147994	0.4132262523	0.433169412	0.4406241283
HepG2	DNase	None	0.919644463	0.9243361892	0.9314232083	0.4674154118	0.4849693976	0.5039334552
HMEC	DNase	None	0.879333841	0.8866699505	0.8892930027	0.4488188025	0.468345512	0.4755812218
HSMMtube	DNase	None	0.911713274	0.915105104	0.9214445217	0.5157930332	0.5322298192	0.5474761751
HSMM	DNase	None	0.907026954	0.9118813054	0.9185637856	0.4915252226	0.5070323764	0.5244834265
HUVEC	DNase	None	0.905654384	0.9102513401	0.9138200111	0.4433583007	0.4583933504	0.4645925495
K562	DNase	None	0.903535042	0.9094502121	0.9121631887	0.431172313	0.4487945406	0.4592981093
LNCaP	DNase	None	0.875751559	0.8880409689	0.8917063906	0.415626869	0.4473678731	0.4566447054
MCF-7	DNase	None	0.887666733	0.9002668401	0.9030551944	0.4126652422	0.4463330385	0.4527049928
NHEK	DNase	None	0.914142019	0.9228574199	0.9246491934	0.4670529474	0.4959797082	0.5046528292
Th1	DNase	None	0.865216236	0.8684588339	0.8701070274	0.3582683957	0.3696926502	0.3746784214
GM06990	DNase	None	0.902955171	0.9063258167	0.9130242555	0.3256947324	0.3396407621	0.3519833383
GM12864	DNase	None	0.917940255	0.9204243729	0.925095715	0.4163407243	0.4328024277	0.4457865784
GM12865	DNase	None	0.926324849	0.9289599657	0.9346960437	0.456179407	0.4756097643	0.4900643586
H7-hESC	DNase	None	0.915536905	0.9226643211	0.9298228787	0.4913154111	0.5167030823	0.539376137
HAc	DNase	None	0.928486887	0.9328079654	0.937698484	0.4887791631	0.5049861395	0.520887621
HAEpiC	DNase	None	0.92657588	0.9297668317	0.9343231185	0.4905119947	0.5048021808	0.5214322986
HA-h	DNase	None	0.918749237	0.923991881	0.9276141384	0.4878496534	0.5082129798	0.5199890343
HA-sp	DNase	None	0.867568074	0.8749524879	0.87873071	0.310400002	0.3207391676	0.3324358266
HBMEC	DNase	None	0.927589775	0.9319868845	0.9361333839	0.5142650844	0.5323390988	0.5480556138
HCFaa	DNase	None	0.925915241	0.9315122479	0.9350841462	0.4932965929	0.5148917186	0.5295825548
HCF	DNase	None	0.931345077	0.9349616255	0.9390792427	0.4957761091	0.5092710462	0.5242311127
HCM	DNase	None	0.932838333	0.9371356069	0.9407061808	0.5206724507	0.5355906307	0.5521894095
HConF	DNase	None	0.929426226	0.9347068355	0.9386057562	0.4828977852	0.499734756	0.5179472602
HCPEpiC	DNase	None	0.920136522	0.9258459751	0.9308340563	0.4972246728	0.5178157325	0.5343484289
HCT-116	DNase	None	0.925107353	0.9335899209	0.9352705424	0.487741387	0.5088164919	0.5171661911
HEEpiC	DNase	None	0.934086436	0.9447754627	0.9471256268	0.5501446974	0.5846392344	0.595482106
HFF-Myc	DNase	None	0.914313099	0.9201956879	0.9257894184	0.4831847449	0.4994266911	0.5130078877
HFF	DNase	None	0.925130896	0.9301621514	0.9352004256	0.5030328507	0.5197016636	0.5391553887
HGF	DNase	None	0.927895498	0.9317619876	0.936724628	0.4366165545	0.4492686027	0.4684700227
HIPEpiC	DNase	None	0.92460714	0.9294246964	0.9336957742	0.5103219527	0.5271666087	0.5424149988
HL-60	DNase	None	0.909168997	0.9129485029	0.9149887045	0.4204746647	0.4340526371	0.444017
HMF	DNase	None	0.936543989	0.9413448289	0.9447513372	0.5293976253	0.5450244821	0.5621798547
HMVEC-dAd	DNase	None	0.927300707	0.9326737666	0.9364159708	0.4480505862	0.4614154772	0.4754370943
HMVEC-dBl-Ad	DNase	None	0.933941611	0.9388509626	0.9427583102	0.4885619396	0.5059151728	0.5233092458
HMVEC-dBl-Neo	DNase	None	0.92490559	0.930562772	0.9342505211	0.4836133664	0.5032293685	0.5173286035
HMVEC-dLy-Ad	DNase	None	0.927537478	0.9313629013	0.9358374506	0.4488086578	0.4643380577	0.4813700162
HMVEC-dLy-Neo	DNase	None	0.93083652	0.9355593715	0.9400747401	0.4793732777	0.4969346814	0.5135492384
HMVEC-dNeo	DNase	None	0.930036611	0.9349825097	0.9390997339	0.4778648021	0.4937562051	0.5091008277
HMVEC-LBl	DNase	None	0.93031706	0.9356419811	0.9383228914	0.4961519713	0.5136469147	0.5263801319
HMVEC-LLy	DNase	None	0.923662478	0.9284201666	0.9330602336	0.4641897075	0.4803925778	0.4958082413
HNPCEpiC	DNase	None	0.929924195	0.9342630449	0.9396141153	0.5292206744	0.5480304384	0.5674828897
HPAEC	DNase	None	0.924899556	0.9302754947	0.9338997532	0.4289231452	0.4472183442	0.4606646028
HPAF	DNase	None	0.933486188	0.9384555517	0.9427790433	0.5276439725	0.5444155256	0.5607777614
HPdLF	DNase	None	0.926365566	0.9305285366	0.9357574552	0.4581185228	0.4725961683	0.4910629306
HPF	DNase	None	0.930353804	0.9351310773	0.9395551385	0.4796925815	0.4969767055	0.5131667785
HRCEpiC	DNase	None	0.921345216	0.9258521846	0.9347292298	0.4844251551	0.4974395493	0.5234900933
HRE	DNase	None	0.923646859	0.9279231557	0.9359002811	0.4947552607	0.510238699	0.5329212091
HRGEC	DNase	None	0.910142935	0.9163424501	0.9202733858	0.4215882342	0.4378245406	0.4501165236
HRPEpiC	DNase	None	0.913599259	0.9191300815	0.9259336552	0.4595513309	0.4777519566	0.4975173177
HVMF	DNase	None	0.911136725	0.9152762634	0.9208684464	0.4235343521	0.4341820379	0.4478887107
Jurkat	DNase	None	0.921549587	0.9283945269	0.9311599247	0.461961112	0.4887497806	0.4982806544
Monocytes-CD14+_RO01746	DNase	None	0.936719544	0.9405712337	0.9425921619	0.4594719928	0.4780806109	0.4841864583
NB4	DNase	None	0.931088121	0.9378184205	0.9395500089	0.4631584639	0.4886611319	0.4944234808
NH-A	DNase	None	0.931549681	0.9348478871	0.9395750535	0.4957210469	0.5082580396	0.5261228274
NHDF-Ad	DNase	None	0.930726524	0.9333396336	0.9384071134	0.5076571241	0.5215163136	0.5370777152
NHDF-neo	DNase	None	0.925687729	0.9281434031	0.9344093798	0.457985012	0.4691006908	0.4898151202
NHLF	DNase	None	0.933492515	0.9373677367	0.9420685281	0.5139133149	0.5301836588	0.5456361721
NT2-D1	DNase	None	0.927061464	0.9339567984	0.9397247773	0.5022316402	0.5325424028	0.5533926266
PANC-1	DNase	None	0.908114925	0.9153481036	0.9171018891	0.4218148461	0.4434547415	0.4485798872
PrEC	DNase	None	0.931840242	0.9408544089	0.94374225	0.4914536124	0.5207733928	0.535066249
RPTEC	DNase	None	0.911536646	0.9164168856	0.927368447	0.4438849592	0.4597563704	0.4854696645
SAEC	DNase	None	0.934864808	0.9448763647	0.9468589411	0.5429736301	0.5760448487	0.5860964239
SKMC	DNase	None	0.926250298	0.9315395097	0.9363406935	0.4925326202	0.5092616817	0.5283401824
SK-N-MC	DNase	None	0.883021602	0.8942838579	0.8990426737	0.3707378565	0.4057456535	0.4140711031
SK-N-SH_RA	DNase	None	0.939063718	0.9438625773	0.9498986815	0.3975102061	0.4261801756	0.4398179731
Th2	DNase	None	0.905005703	0.9103992578	0.9111198867	0.3293858306	0.3493359431	0.3472368336
WERI-Rb-1	DNase	None	0.913575694	0.9173347257	0.929592394	0.4278899283	0.4436865497	0.4726208774
WI-38	DNase	4OHTAM_20nM_72hr	0.913134552	0.9156277795	0.9198931321	0.4479663626	0.4589895682	0.4698625771
WI-38	DNase	None	0.927649399	0.9326504992	0.9370454314	0.4625436502	0.4808466387	0.4957341832
Dnd41	CTCF	None	0.979197733	0.9828194319	0.9834972491	0.6948477135	0.7280444211	0.7339549699
Dnd41	EZH2	None	0.944861415	0.9505153199	0.9464026022	0.0503574567	0.0529569318	0.0513925619
GM12878	CTCF	None	0.97843466	0.9819842813	0.9836703868	0.6662684482	0.7017412278	0.7176266638
GM12878	EZH2	None	0.919441436	0.9336589275	0.9369153097	0.0468882058	0.0549747153	0.0515252256
H1-hESC	CHD1	None	0.947187055	0.9522565082	0.953835472	0.1904373325	0.1997666885	0.2043302274
H1-hESC	CTCF	None	0.977368797	0.9819703963	0.984390157	0.6404027745	0.6851148825	0.7013977526
H1-hESC	EZH2	None	0.981665445	0.9843253966	0.9844030627	0.3950924116	0.4474857081	0.4580646428
H1-hESC	JARID1A	None	0.987164153	0.9836496353	0.9846192343	0.1855753223	0.2526011211	0.2236398947
H1-hESC	RBBP5	None	0.965011761	0.9689929034	0.9704391507	0.4277618879	0.4430519054	0.4380077694
HeLa-S3	CTCF	None	0.964978887	0.9710963274	0.9741564603	0.6521248673	0.6899951195	0.7035668817
HeLa-S3	EZH2	None	0.810107062	0.8440234994	0.8378299628	0.0186784028	0.0293885198	0.0257197131
HeLa-S3	Pol2(b)	None	0.890695267	0.9010516315	0.8982336244	0.1087885301	0.1126559393	0.1182552848
HepG2	CTCF	None	0.983452523	0.9865309766	0.9882154081	0.6686938211	0.7079747423	0.7233479384
HepG2	EZH2	None	0.951716913	0.9567290054	0.9558964504	0.0610399615	0.0651476924	0.0725180439
HMEC	CTCF	None	0.984604211	0.9875578452	0.9888527417	0.6616691456	0.6979001129	0.7117904391
HMEC	EZH2	None	0.959317412	0.9639922181	0.9647001676	0.2023753289	0.2177503769	0.2311077292
HSMM	CTCF	None	0.97622668	0.98088099	0.9830018163	0.62784861	0.6644898536	0.6760445272
HSMM	EZH2	None	0.961192582	0.9694547711	0.9665768862	0.106623225	0.1144819085	0.1239809255
HSMMtube	CTCF	None	0.972644397	0.9779363134	0.9807862107	0.6377985839	0.6742370664	0.6878329335
HSMMtube	EZH2	None	0.984216728	0.9854362178	0.984964653	0.1644615775	0.1947132578	0.1987579507
HUVEC	CTCF	None	0.982231848	0.9847767197	0.9866238512	0.6652413535	0.6970859984	0.7086061324
HUVEC	EZH2	None	0.985643204	0.9871545436	0.9870954606	0.3573330741	0.4004923819	0.4098367673
HUVEC	Pol2(b)	None	0.923989395	0.931500822	0.9239079205	0.1687234423	0.1810987098	0.18334311
K562	CHD1	None	0.954814543	0.9589930511	0.9594348937	0.2158266721	0.2292443166	0.225249131
K562	CTCF	None	0.970549293	0.9758263405	0.9778692369	0.6238341427	0.6608491882	0.6744054116
K562	EZH2	None	0.887793906	0.9233489985	0.9226019077	0.0344581093	0.0521139377	0.020309774
K562	HDAC1	None	0.965512702	0.9677822315	0.9669353428	0.3204846573	0.3432210499	0.3507928258
K562	HDAC2	None	0.952215035	0.9542979809	0.9572958376	0.1036084987	0.1158599558	0.1273267735
K562	HDAC6	None	0.980055802	0.9821017836	0.9793290012	0.0148905445	0.0535166661	0.0251497757
K562	p300	None	0.905436095	0.9141952885	0.9256002824	0.0952271705	0.1862205502	0.1640130414
K562	PHF8	None	0.98363375	0.9860795594	0.985607495	0.6930461418	0.7236060015	0.720118456
K562	PLU1	None	0.964963856	0.9693179544	0.9666295432	0.4451475662	0.4783755687	0.4724317677
K562	Pol2(b)	None	0.945730788	0.9521967827	0.9527718891	0.2919024114	0.3261037125	0.3356876152
K562	RBBP5	None	0.96120623	0.9644706488	0.9659898602	0.4377177306	0.4644582196	0.4712045733
K562	SAP30	None	0.983896185	0.9852306994	0.9853598619	0.3694789309	0.39310946	0.4045027333
NH-A	CTCF	None	0.9802973	0.9845971005	0.9865739076	0.6580704962	0.6875824863	0.7028876098
NH-A	EZH2	None	0.986685557	0.988368782	0.9882851576	0.3599478829	0.3987127271	0.4150729698
NHDF-Ad	CTCF	None	0.976131175	0.9804474397	0.9829092571	0.6184704078	0.6535446682	0.6695206568
NHDF-Ad	EZH2	None	0.985680664	0.9875543693	0.986955128	0.3151414248	0.3337529063	0.3448397937
NHEK	CTCF	None	0.972821769	0.9778310698	0.9809396865	0.634254649	0.6670594032	0.6823347375
NHEK	EZH2	None	0.978477202	0.9799864113	0.980734817	0.3021336967	0.3157092454	0.3330726839
NHEK	Pol2(b)	None	0.858047706	0.8703413276	0.8730132103	0.0886599013	0.0983012757	0.098653143
NHLF	CTCF	None	0.980536775	0.9839292003	0.985494076	0.6335788106	0.670823372	0.6830652013
NHLF	EZH2	None	0.974710131	0.9775796968	0.9780148663	0.2605260639	0.2815290078	0.2880523893
Osteobl	CTCF	None	0.96530837	0.9720288862	0.974641306	0.6701567958	0.7027804547	0.7124233217
A549	ATF3	EtOH_0.02pct	0.913191801	0.9264451382	0.9302667377	0.1156891746	0.1526060859	0.1644041678
A549	BCL3	EtOH_0.02pct	0.867672168	0.885564787	0.8896445111	0.0965988712	0.1252343956	0.13488281
A549	CREB1	DEX_100nM	0.965667429	0.9707381698	0.9751988107	0.440254602	0.460590878	0.4722409415
A549	CTCF	DEX_100nM	0.987773364	0.9890462208	0.989452416	0.5615943806	0.5953253649	0.6026868212
A549	CTCF	EtOH_0.02pct	0.987068508	0.9890167653	0.9898131995	0.6045159522	0.6366799232	0.6486217846
A549	ELF1	EtOH_0.02pct	0.938142161	0.9430139601	0.9476777723	0.284819154	0.3125382996	0.3263152759
A549	ETS1	EtOH_0.02pct	0.94348497	0.9539543235	0.9574034223	0.2728200465	0.3286600881	0.3273683297
A549	FOSL2	EtOH_0.02pct	0.932658125	0.9388592782	0.9415868826	0.3436661118	0.3583663102	0.3678631104
A549	FOXA1	DEX_100nM	0.900893332	0.9087721073	0.9447428751	0.0546206532	0.0666712185	0.1451606436
A549	GABP	EtOH_0.02pct	0.943008355	0.950767034	0.9538515123	0.3657591591	0.4093104536	0.4112527958
A549	GR	DEX_500pM	0.922765243	0.9298149609	0.9495471386	0.0265567574	0.0499302535	0.0527968841
A549	GR	DEX_50nM	0.863613911	0.879447292	0.9361639391	0.1399418871	0.1568244938	0.2870797628
A549	GR	DEX_5nM	0.891522056	0.9035275558	0.945185153	0.112678278	0.1256717768	0.1907263731
A549	GR	DEX_100nM	0.889334483	0.9071279742	0.9469760718	0.1503976556	0.1695907435	0.2528581938
A549	NRSF	EtOH_0.02pct	0.904815163	0.9124184714	0.915961175	0.2423103444	0.2976020104	0.3118385927
A549	p300	EtOH_0.02pct	0.883371053	0.8945068734	0.9013679742	0.1795984696	0.2020195342	0.2141727035
A549	Pol2	DEX_100nM	0.959203153	0.9620424255	0.9623946038	0.6167099767	0.6290626753	0.6333890097
A549	Pol2	EtOH_0.02pct	0.960457188	0.9627685921	0.9631449594	0.6341176844	0.647462131	0.6498752533
A549	Sin3Ak-20	EtOH_0.02pct	0.885424571	0.8994366684	0.9034507076	0.1022110914	0.1213813776	0.1290610381
A549	SIX5	EtOH_0.02pct	0.940631616	0.9518052788	0.9570528537	0.247223069	0.3205163571	0.3281333775
A549	TAF1	EtOH_0.02pct	0.933993717	0.940490221	0.9429302203	0.3615552207	0.3900378902	0.3961077968
A549	TCF12	EtOH_0.02pct	0.881868319	0.8955252256	0.9016646363	0.2044397311	0.2329184519	0.238297591
A549	USF1	DEX_100nM	0.945060376	0.9537281917	0.9602748636	0.2417131675	0.2813411332	0.2900766955
A549	USF1	EtOH_0.02pct	0.96826118	0.9728937341	0.9766374594	0.3306685763	0.3800210921	0.3865999797
A549	USF1	EtOH_0.02pct	0.930509026	0.946998574	0.9531375752	0.2453563413	0.3077332024	0.3166876439
A549	YY1	EtOH_0.02pct	0.94125701	0.9494180942	0.9504524644	0.3178900159	0.334962954	0.3384931077
A549	ZBTB33	EtOH_0.02pct	0.91312342	0.9265630838	0.9302141958	0.1468035717	0.1915081846	0.2063157408
ECC-1	CTCF	DMSO_0.02pct	0.994901971	0.9958435791	0.9959950236	0.7529076808	0.7823943699	0.7909016603
ECC-1	ERalpha	BPA_100nM	0.878895275	0.8897221839	0.9184460837	0.0273335519	0.0379383794	0.0648413315
ECC-1	ERalpha	Estradiol_10nM	0.854146372	0.86106586	0.8956970883	0.0740760624	0.0863007771	0.135406221
ECC-1	ERalpha	Genistein_100nM	0.8639426	0.8739236752	0.9064942098	0.0647234055	0.086265127	0.1272227789
ECC-1	FOXA1	DMSO_0.02pct	0.920940703	0.931902483	0.9385456568	0.0697933009	0.0884958054	0.090638139
ECC-1	GR	DEX_100nM	0.875242027	0.8963543857	0.930369757	0.0587697101	0.0700206789	0.1102768402
ECC-1	Pol2	DMSO_0.02pct	0.970602594	0.9726180948	0.9712892904	0.5920347998	0.6154780478	0.6154882772
GM12878	ATF2	None	0.908166107	0.9132904078	0.9230021295	0.2241970281	0.2421655478	0.2673604307
GM12878	ATF3	None	0.971901032	0.9866986273	0.9878185074	0.2339069125	0.3313722512	0.3271799542
GM12878	BATF	None	0.932021719	0.9430773707	0.946920663	0.2294284351	0.2767155166	0.2861975225
GM12878	BCL11A	None	0.942711195	0.9468372534	0.9527767026	0.1762335988	0.1935423413	0.2137608637
GM12878	BCL3	None	0.904599574	0.9108492771	0.9124129072	0.1674409144	0.1900477246	0.1924355171
GM12878	BCLAF1	None	0.958378312	0.9580874208	0.9615134541	0.1373245399	0.1724751132	0.1659944502
GM12878	CEBPB	None	0.917012442	0.9226003818	0.930790745	0.1024498692	0.1287914315	0.1563126712
GM12878	EBF1	None	0.903966501	0.9302351346	0.9337608469	0.1808819955	0.2410076858	0.2487389752
GM12878	Egr-1	None	0.968068142	0.9701509225	0.971402839	0.2555446054	0.2900144575	0.3065526201
GM12878	ELF1	None	0.971719081	0.9749631323	0.9765481283	0.4803459136	0.5150997706	0.5157658868
GM12878	ETS1	None	0.985629811	0.9833999229	0.9795323406	0.2598804586	0.31586556	0.3121810976
GM12878	FOXM1	None	0.907992477	0.9146737698	0.9234702959	0.2021063255	0.2239470419	0.2425029589
GM12878	GABP	None	0.987640089	0.9887693347	0.9895853063	0.5211708004	0.5879808903	0.5792690335
GM12878	IRF4	None	0.93451815	0.9449396806	0.9463605124	0.175851082	0.2088054602	0.214229064
GM12878	MEF2A	None	0.929263022	0.9277432118	0.9471411277	0.1542119377	0.1610140019	0.2034633346
GM12878	MEF2C	None	0.935128543	0.9278796573	0.9542268994	0.0957349301	0.1017272794	0.1596416237
GM12878	MTA3	None	0.899905648	0.905764824	0.9149004494	0.1468437541	0.1673900592	0.1855909428
GM12878	NFATC1	None	0.89701768	0.9030247151	0.9105011561	0.1668825727	0.1920175472	0.2002772131
GM12878	NFIC	None	0.900132328	0.9049927131	0.9151011751	0.2451126828	0.2654825617	0.2943599712
GM12878	NRSF	None	0.972767885	0.956573419	0.962673382	0.4367634119	0.4476968191	0.4522332143
GM12878	p300	None	0.958002113	0.9593558777	0.9636630109	0.111535973	0.1289293905	0.1591332532
GM12878	PAX5-C20	None	0.900678121	0.9061810605	0.9293936559	0.164839885	0.18788587	0.226109771
GM12878	PAX5-N19	None	0.915295958	0.9201533587	0.9381133297	0.1697664153	0.1733422745	0.2096374694
GM12878	Pbx3	None	0.931529498	0.9335511308	0.9399893473	0.1118729229	0.1190741396	0.1311465655
GM12878	PML	None	0.926881395	0.9328674616	0.9370142756	0.3131697665	0.3492676138	0.3643677193
GM12878	Pol2-4H8	None	0.892877934	0.8991389796	0.9006586914	0.3619131875	0.3853461261	0.3907466247
GM12878	Pol2	None	0.95735067	0.9597579012	0.9589542133	0.5921757818	0.6093626208	0.6068627917
GM12878	POU2F2	None	0.925661202	0.9230673756	0.93713417	0.1980847371	0.2117357157	0.2367415244
GM12878	PU.1	None	0.963193627	0.9632249064	0.9651372034	0.4391917679	0.4559983592	0.4698004437
GM12878	Rad21	None	0.980068363	0.9827949116	0.9848205415	0.5819218297	0.6097084983	0.6241192752
GM12878	RUNX3	None	0.918940734	0.9218221875	0.9298618877	0.3849156092	0.3970460566	0.4205824127
GM12878	RXRA	None	0.975478372	0.9724747877	0.9770622257	0.0232369252	0.0564727959	0.0507670433
GM12878	SIX5	None	0.990721252	0.992780882	0.9913390725	0.4757663138	0.6106198874	0.5944140419
GM12878	SP1	None	0.955073265	0.9578227053	0.9608520834	0.3273311996	0.3505493266	0.36548824
GM12878	SRF	None	0.926471266	0.9293669359	0.9376433201	0.1406488061	0.1697369901	0.1733029038
GM12878	STAT5A	None	0.900454995	0.907508557	0.9103818673	0.1029319524	0.1253718151	0.1337787033
GM12878	TAF1	None	0.962067709	0.9637928771	0.9655038861	0.3601003837	0.3909275947	0.4040592957
GM12878	TCF12	None	0.948741631	0.9549397194	0.9588437906	0.2004203585	0.2299460069	0.2457627546
GM12878	TCF3	None	0.947997051	0.9536777309	0.9565741271	0.1801572105	0.2149013197	0.2367071382
GM12878	USF1	None	0.982516349	0.9836420692	0.985332868	0.3839730223	0.3952286217	0.4087156953
GM12878	YY1	None	0.952042593	0.9568501278	0.9578263334	0.4037606453	0.4406802525	0.4479567735
GM12878	ZBTB33	None	0.969481667	0.9764611998	0.9791643545	0.0673206715	0.1074382609	0.124612115
GM12878	ZEB1	None	0.966827784	0.9716692832	0.9714642484	0.1700890536	0.190417269	0.1793707361
GM12891	PAX5-C20	None	0.917241364	0.9243967329	0.9522438548	0.0262350127	0.0322873569	0.0514225548
GM12891	Pol2-4H8	None	0.90092174	0.9065664386	0.9056351305	0.3018536691	0.3173007247	0.3269424868
GM12891	Pol2	None	0.909010551	0.9152013441	0.9132158071	0.3311246319	0.3467490723	0.3526225559
GM12891	POU2F2	None	0.930523887	0.9285544421	0.9432047351	0.1549935461	0.174399278	0.1979373849
GM12891	PU.1	None	0.963082388	0.9639820871	0.9666167458	0.4391877037	0.4623438539	0.4796264808
GM12891	TAF1	None	0.963908335	0.9653858419	0.9665571923	0.3581434308	0.3883551495	0.3970420846
GM12891	YY1	None	0.966720448	0.9713125527	0.9707997484	0.3703016666	0.4097398753	0.4025665874
GM12892	PAX5-C20	None	0.951680706	0.9547420635	0.9686877489	0.2677825365	0.2806027906	0.3055286255
